poll_epoch,arm_n,replicate,image_digest,clock_offset_s,hostname,status,healthy,reboot_count,tofu_start_epoch,tofu_end_epoch,cloudinit_start_epoch,cloudinit_end_epoch,container_start_epoch,container_end_epoch,total_startup_s,created_epoch,session_started_epoch,last_seen_epoch,machine_identity
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-23,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399638.992331,,1788399677.094741,i-0d3c546bc5348b0f0
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-24,initializing,,0,1788399546.0,1788399636.0,,,,,,1788399638.993,,1788399764.248502,i-0f3ba0600bf0d349b
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-25,initializing,,0,1788399546.0,1788399636.0,,,,,,1788399622.14519,,1788399763.651994,i-06612b0fa736d915e
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-26,initializing,,0,1788399546.0,1788399636.0,,,,,,1788399614.07659,,1788399764.988089,i-02f96eb3f5f505cef
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-27,initializing,,0,1788399545.0,1788399636.0,,,,,,1788399615.958206,,1788399764.377907,i-00a9d474b99e1413f
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-28,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399637.824535,,1788399764.243541,i-0dba1e44ba4dc8dd4
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-29,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399638.996891,,1788399777.654799,i-09755c09c85da1631
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-3,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399614.89234,,1788399763.566947,i-036d30e966604b404
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-30,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399614.083078,,1788399764.130799,i-09ac84dae558640e6
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-31,initializing,,0,1788399546.0,1788399636.0,,,,,,1788399628.459319,,1788399765.094825,i-07f8a2cfb41bca4e6
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-32,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399625.286147,,1788399764.669093,i-0a75eef84ddc6cc4d
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-33,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399639.000937,,1788399776.207542,i-00254cc3cdf6cc8e1
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-34,initializing,,0,1788399545.0,1788399637.0,,,,,,1788399626.916719,,1788399762.497005,i-0b8725ff75e577578
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-35,initializing,,0,1788399546.0,1788399636.0,,,,,,1788399639.002807,,1788399766.643479,i-041b3d6ce42a5c1d9
